Month,Year,Product,Region,Revenue,Units,CAC,CustomerCount,ChurnRate
Jan,2024,Enterprise Suite,North America,1580000,32,48.25,152,5.2
Jan,2024,SMB Solutions,North America,1120000,224,44.50,210,6.8
Jan,2024,Consumer Apps,North America,845000,9400,38.75,9250,7.5
Jan,2024,Professional Services,North America,425000,85,52.30,85,4.1
Jan,2024,Enterprise Suite,Europe,820000,16,51.75,78,4.8
Jan,2024,SMB Solutions,Europe,650000,130,46.80,125,6.5
Jan,2024,Consumer Apps,Europe,485000,5400,40.25,5300,7.2
Jan,2024,Professional Services,Europe,235000,47,55.40,47,3.9
Jan,2024,Enterprise Suite,Asia Pacific,480000,10,54.20,45,5.5
Jan,2024,SMB Solutions,Asia Pacific,375000,75,48.90,72,7.1
Jan,2024,Consumer Apps,Asia Pacific,290000,3200,42.60,3150,8.1
Jan,2024,Professional Services,Asia Pacific,145000,29,58.75,29,4.2
Jan,2024,Enterprise Suite,Rest of World,410000,8,56.80,38,6.2
Jan,2024,SMB Solutions,Rest of World,320000,64,51.25,61,7.8
Jan,2024,Consumer Apps,Rest of World,245000,2700,45.40,2650,8.9
Jan,2024,Professional Services,Rest of World,125000,25,62.50,25,4.6
Feb,2024,Enterprise Suite,North America,1625000,33,47.80,158,5.1
Feb,2024,SMB Solutions,North America,1140000,228,44.10,215,6.7
Feb,2024,Consumer Apps,North America,865000,9600,38.40,9400,7.4
Feb,2024,Professional Services,North America,430000,86,52.10,86,4.0
Feb,2024,Enterprise Suite,Europe,840000,17,51.20,81,4.7
Feb,2024,SMB Solutions,Europe,665000,133,46.50,128,6.4
Feb,2024,Consumer Apps,Europe,495000,5500,39.90,5400,7.1
Feb,2024,Professional Services,Europe,240000,48,55.20,48,3.8
Feb,2024,Enterprise Suite,Asia Pacific,495000,10,53.90,47,5.4
Feb,2024,SMB Solutions,Asia Pacific,385000,77,48.60,74,7.0
Feb,2024,Consumer Apps,Asia Pacific,300000,3300,42.30,3200,8.0
Feb,2024,Professional Services,Asia Pacific,150000,30,58.50,30,4.1
